Id,MSZoning,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,KitchenQual,SalePrice
1,C,9223.0,SawyerW,6,1991,2010,Gd,PConc,781.0,Gd,1131,1,0,3,5,0,3.0,678.628800588886,47,106,Gd,213431
2,RM,5314.0,NoRidge,10,1906,1920,Gd,CBlock,1592.0,Ex,1303,2,0,3,7,0,2.0,564.4602726606217,17,137,Gd,240188
3,RL,8596.0,CollgCr,8,1934,1961,TA,PConc,532.0,Gd,1346,3,0,3,6,1,2.0,447.72860277291994,18,15,TA,207495
4,RL,6560.0,NridgHt,7,1954,1971,TA,CBlock,1850.0,Ex,1615,1,0,3,5,1,3.0,806.2793636965955,31,4,Ex,241885
5,RL,7998.0,NWAmes,5,1991,2010,Ex,CBlock,882.0,TA,1143,1,0,2,6,1,2.0,576.8966666915512,14,72,TA,186409
6,C,10099.0,NoRidge,5,1913,1934,Gd,CBlock,,Ex,1627,2,0,3,6,1,2.0,476.9243096950905,0,47,Ex,183939
7,RL,11076.0,OldTown,3,1909,1919,TA,BrkTil,,Gd,1694,2,0,3,5,1,3.0,854.0395008305084,1,21,TA,185547
8,RL,15341.0,BrkSide,9,1979,1991,Ex,PConc,815.0,Ex,1312,2,1,3,7,1,1.0,261.92850502159575,22,13,TA,220634
9,RL,8387.0,SawyerW,7,1915,1918,Ex,PConc,764.0,Ex,1178,3,1,2,6,0,4.0,1102.2332534075515,6,17,Gd,204357
10,RL,12323.0,NoRidge,8,1953,1974,Gd,CBlock,1180.0,Ex,1534,2,0,4,6,0,1.0,224.8973292669224,1,69,Gd,217814
11,C,10917.0,NoRidge,2,1994,2000,TA,CBlock,576.0,Ex,1418,1,1,3,6,0,0.0,0.0,98,6,TA,146844
12,RL,13887.0,Mitchel,10,2005,2010,TA,PConc,1109.0,Ex,1588,2,1,4,7,0,3.0,623.2726820977947,16,49,Gd,271761
13,RL,11728.0,Sawyer,8,1988,1991,TA,PConc,344.0,TA,2127,2,1,3,7,0,2.0,602.6780309186279,34,0,Gd,254670
14,RL,6974.0,Timber,5,1976,2003,TA,PConc,1082.0,Ex,1527,1,0,4,7,2,2.0,379.16010070492956,9,75,TA,198659
15,RL,4830.0,Somerst,5,1969,1983,Gd,PConc,1254.0,Gd,1244,1,1,4,8,1,3.0,718.0723362334036,2,20,Gd,191496
16,FV,10933.0,Mitchel,5,1943,1943,Gd,CBlock,617.0,Ex,1143,1,0,3,5,2,3.0,666.146226522034,68,7,Gd,193258
17,C,8414.0,NridgHt,6,1972,1974,TA,CBlock,1203.0,Gd,1159,2,0,4,7,2,4.0,1080.9640498242686,6,0,TA,223998
18,FV,7059.0,NridgHt,7,1944,1957,Gd,PConc,1015.0,Ex,914,2,0,3,5,0,2.0,615.4367567557952,1,24,TA,174857
19,RL,6197.0,BrkSide,6,1999,2010,TA,PConc,1479.0,Gd,1873,2,0,3,7,0,2.0,539.2949059212515,44,8,Gd,252073
20,RL,10482.0,Crawfor,6,1955,1955,TA,PConc,743.0,Gd,606,3,0,2,4,1,1.0,338.83851090854057,0,29,TA,135965
21,RL,14523.0,SawyerW,7,2006,2010,Gd,PConc,1844.0,Ex,1695,1,0,3,6,1,2.0,417.32358940646964,28,9,TA,242423
22,RL,8773.0,BrkSide,5,1983,2010,TA,PConc,282.0,Ex,1152,3,1,3,5,0,3.0,632.8934280724291,17,2,TA,167083
23,RL,11770.0,Mitchel,6,1981,2001,TA,PConc,901.0,Ex,1295,2,0,4,7,1,2.0,446.413146103076,19,21,Gd,203880
24,RL,9693.0,OldTown,6,2006,2010,TA,PConc,490.0,Ex,1140,2,0,2,5,0,2.0,507.27468171775433,0,24,Ex,182365
25,RL,6131.0,BrkSide,6,1956,1960,Gd,CBlock,1555.0,Ex,2078,3,0,3,6,0,2.0,438.384657483005,166,18,TA,256450
26,RL,12204.0,BrkSide,8,1920,1929,Gd,CBlock,921.0,Ex,1506,1,0,2,5,0,2.0,454.90023474169845,36,18,TA,217008
27,RL,6715.0,Somerst,5,1967,1994,TA,PConc,948.0,Gd,1816,2,0,3,6,0,4.0,1074.4580228712746,42,26,TA,216618
28,RM,10064.0,Crawfor,7,1949,1969,Fa,BrkTil,1132.0,Ex,2020,2,1,2,6,1,1.0,212.82484350658547,54,22,Gd,235136
29,FV,8975.0,NAmes,7,1932,1938,Gd,CBlock,998.0,Ex,1565,2,0,4,6,0,2.0,432.00823922179393,79,4,TA,197206
30,RL,12679.0,CollgCr,3,1990,1992,Fa,Slab,821.0,Ex,1021,2,0,3,7,2,3.0,,46,6,TA,169063
31,RL,6825.0,SawyerW,7,1906,1925,TA,BrkTil,623.0,Gd,1411,1,1,3,5,0,2.0,481.73341574964076,71,4,Gd,192998
32,FV,11172.0,Timber,5,1969,1987,TA,CBlock,1050.0,Ex,1203,2,0,4,6,2,1.0,280.30047151663945,29,35,Gd,189895
33,RL,7480.0,OldTown,3,1914,1948,Gd,CBlock,1113.0,Gd,1298,2,1,3,5,1,2.0,445.9616151213128,23,22,TA,165331
34,RL,,Edwards,9,1981,1984,Gd,PConc,1208.0,Gd,1462,2,0,2,6,1,2.0,456.78320095274614,86,16,TA,233932
35,RL,2000.0,Mitchel,10,1931,1935,Ex,CBlock,1573.0,Gd,1446,2,0,3,6,0,1.0,267.4501034883702,100,48,Ex,237148
36,RL,16276.0,NWAmes,8,1974,1974,Gd,CBlock,347.0,Ex,1664,3,0,2,5,1,3.0,822.1254891405043,7,11,TA,237847
37,RL,11651.0,NAmes,6,1919,1922,Fa,CBlock,979.0,Gd,1722,1,0,5,9,1,2.0,585.7234680275953,39,25,TA,200474
38,FV,7697.0,OldTown,4,1987,1998,Gd,CBlock,1357.0,Ex,1446,2,0,3,6,0,,792.2208319378278,57,2,TA,219207
39,RL,6626.0,OldTown,7,1914,1940,TA,PConc,962.0,TA,1661,3,1,3,5,0,,761.7327653965643,4,40,TA,212563
40,RL,8513.0,Mitchel,6,1947,1969,Ex,CBlock,298.0,Gd,1280,2,1,3,6,0,2.0,534.5023044047692,132,35,TA,186394
41,RL,12150.0,Timber,4,1970,1994,TA,PConc,612.0,Ex,2025,1,1,2,5,0,0.0,0.0,36,48,Gd,203550
42,RL,4323.0,Mitchel,7,1920,1940,Gd,CBlock,1098.0,Fa,1273,1,1,4,7,0,2.0,483.5139443374713,51,64,Gd,204679
43,RL,9575.0,NridgHt,3,1941,1964,Gd,BrkTil,1087.0,Gd,1978,1,0,4,6,1,1.0,196.7766906316374,9,42,TA,190948
44,RL,15311.0,Somerst,9,1925,1949,Gd,CBlock,1201.0,Ex,909,2,1,4,7,0,3.0,830.40743610204,15,55,Ex,204271
45,RL,6598.0,OldTown,5,2007,2010,TA,CBlock,765.0,Ex,1347,2,0,3,6,1,1.0,256.3437683515524,6,12,TA,178150
46,RL,10241.0,Edwards,7,1913,1944,Gd,PConc,1077.0,Gd,1367,3,1,3,6,1,2.0,546.6223559820984,15,12,TA,197240
47,RL,16609.0,BrkSide,6,1956,1960,Gd,BrkTil,716.0,TA,1611,2,0,2,6,1,2.0,331.05137033136236,33,86,Gd,226039
48,RL,11896.0,Gilbert,7,1936,1971,Ex,PConc,1077.0,TA,1844,2,1,3,7,0,2.0,497.17389752638724,89,73,TA,234298
49,RL,10377.0,OldTown,7,1957,1995,Fa,BrkTil,1015.0,Gd,1000,2,1,3,6,1,2.0,448.64710961734204,38,23,TA,176263
50,RL,11519.0,NWAmes,5,1920,1935,TA,PConc,753.0,Ex,1056,2,0,3,7,0,2.0,590.081750289214,14,13,Gd,159890
